Province,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020
Gauteng,645,663,,693,704,713,,782,,801,,865,890,909,930,969,1018,1101,1148,1170,1199,1224,1252,1281,1304,1331
Western Cape,326,353,,433,454,462,,495,,541,,587,617,643,657,675,717,836,868,940,1010,1079,1279,1413,1514,1608
KwaZulu-Natal,186,206,,232,246,257,,354,,412,,443,465,489,519,539,591,604,617,639,671,758,807,841,847,863
Eastern Cape,15,17,,25,31,32,,45,,68,,88,104,174,199,220,246,270,293,310,345,377,417,480,488,535
Free State,76,84,,85,87,89,,88,,94,,96,96,98,97,98,100,100,100,105,106,106,106,111,111,110
Limpopo,14,16,,18,18,19,,21,,24,,23,23,24,25,26,26,26,27,27,27,27,27,29,30,31
North West,9,9,,11,11,11,,15,,18,,21,22,22,23,24,24,24,24,25,24,24,25,25,28,28
Mpumalanga,12,13,,18,18,18,,21,,20,,19,22,22,22,22,23,25,23,23,24,23,23,24,23,23
Northern Cape,7,7,,7,8,8,,13,,15,,16,16,16,16,16,16,16,16,18,16,16,16,16,16,17
Unallocated,90,94,,63,77,77,,11,,10,,15,17,18,18,16,22,32,42,43,43,1,1,0,0,0
