Province,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,09/05/2020,11/05/2020
Gauteng,6,7,7,7,8,8,8,8,8,8,11,11,11,12,18,22
Western Cape,17,17,17,22,28,30,32,33,35,38,42,42,55,56,95,106
KwaZulu-Natal,22,23,23,25,27,29,29,29,30,30,32,32,32,34,43,44
Eastern Cape,4,5,5,5,6,6,10,10,10,10,11,11,11,13,21,24
Free State,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6
Limpopo,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3
North West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mpumalanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Cape,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unallocated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
